"ReplayID";"ClientVersion";"DateTime";"BattleType";"MapName";"MapResp";"PlayerID";"PlayerName";"PlayerTank";"isPremium";"isPlatoon";"PlayerShots";"PlayerFrags";"PlayerDamageDealt";"PlayerSpots";"PlayerBaseCap";"PlayerBaseDef";"PlayerMileage";"API_PlayerBattles";"API_PlayerWins";"ReplayUrl"
12325069;"[1.6.0]";"10.08.2019 19:28";"Случайный бой";"14_siegfried_line";"II";34293149;"ABV_F1";"ussr:R159_SU_130PM";1;0;12;4;4455;2;0;0;1,0100000000;29281;16336;"http://wotreplays.ru/site/12325069"
12325070;"[1.6.0]";"10.08.2019 19:23";"Случайный бой";"01_karelia";"I";77327028;"tatabelo";"germany:G41_DickerMax";1;1;16;2;2653;0;0;0;0,7800000000;6098;3026;"http://wotreplays.ru/site/12325070"
12325071;"[1.6.0]";"10.08.2019 08:56";"Случайный бой";"59_asia_great_wall";"II";16102307;"serios_adi";"italy:It11_P43";1;0;19;3;898;0;0;0;1,8600000000;14917;7450;"http://wotreplays.ru/site/12325071"
12325072;"[1.6.0]";"10.08.2019 19:22";"Случайный бой";"31_airfield";"II";1229255;"cTyqeHT";"italy:It14_P44_Pantera";1;0;20;2;2162;2;0;0;1,7000000000;9983;5011;"http://wotreplays.ru/site/12325072"
12325073;"[1.6.0]";"07.08.2019 18:04";"Случайный бой";"90_minsk";"II";5650455;"TOR_G_";"ussr:R153_Object_705";0;0;16;3;4887;2;0;0;1,9200000000;15118;7637;"http://wotreplays.ru/site/12325073"
12325075;"[1.6.0]";"10.08.2019 19:29";"Случайный бой";"115_sweden";"II";41082303;"Old_Pup_";"ussr:R101_MT25";1;0;24;3;1365;4;0;0;3,3900000000;10343;5160;"http://wotreplays.ru/site/12325075"
12325076;"[1.6.0]";"10.08.2019 19:21";"Случайный бой";"59_asia_great_wall";"II";4233450;"morgan19741";"france:F84_Somua_SM";1;0;10;1;1212;1;0;0;0,7000000000;77335;37928;"http://wotreplays.ru/site/12325076"
12325077;"[1.6.0]";"10.08.2019 19:19";"Случайный бой";"37_caucasus";"I";13006802;"VORON_BAD";"china:Ch34_WZ131G_FT";0;0;19;5;1946;2;0;0;1,8300000000;43804;22843;"http://wotreplays.ru/site/12325077"
12325078;"[1.6.0]";"10.08.2019 19:31";"Случайный бой";"112_eiffel_tower_ctf";"I";8163500;"TonyTheBrave";"germany:G138_VK168_02";1;0;5;1;1922;0;0;0;1,5000000000;58733;29425;"http://wotreplays.ru/site/12325078"
12325079;"[1.6.0]";"10.08.2019 16:23";"Случайный бой";"18_cliff";"II";11402240;"dancer308";"germany:G91_Pro_Ag_A";1;0;23;4;4463;1;0;0;3,9300000000;31428;18434;"http://wotreplays.ru/site/12325079"
12325080;"[1.6.0]";"10.08.2019 19:25";"Случайный бой";"114_czech";"II";2356712;"Fugas_85";"ussr:R107_LTB";1;1;29;3;2363;6;0;0;3,7900000000;55630;29013;"http://wotreplays.ru/site/12325080"
12325081;"[1.6.0]";"10.08.2019 19:24";"Случайный бой";"44_north_america";"II";93252715;"Egorovka666";"germany:G15_VK3601H";1;0;10;1;1168;1;0;0;1,4200000000;332;169;"http://wotreplays.ru/site/12325081"
